customer_id,age,gender,tenure_months,monthly_spend,calls,sms,complaints,region,churn
C000058,38,M,11,21.79,3,16,0,south,0
C000059,26,M,8,6.24,4,21,0,north,0
C000060,56,F,11,15.69,9,15,0,east,0
C000061,35,F,6,15.29,6,17,0,north,0
C000062,21,M,3,35.84,8,27,0,south,0
C000063,42,M,23,33.41,9,23,0,east,0
C000064,77,F,14,33.62,16,18,0,west,0
C000065,31,M,4,7.01,10,18,0,south,1
C000066,67,M,7,35.44,7,14,0,east,0
C000067,75,M,17,41.51,6,20,0,east,0
C000068,26,M,1,0.52,11,23,0,south,1
C000069,43,M,3,14.45,12,25,0,north,1
C000070,70,M,1,25.46,16,18,1,south,1
C000071,19,M,33,42.94,11,21,0,east,0
C000072,37,F,27,26.72,10,25,0,north,0
C000073,45,M,27,30.45,8,25,0,north,0
C000074,64,F,25,26.53,10,20,0,north,0
C000075,77,F,22,32.1,10,27,0,north,0
C000076,24,M,12,37.97,9,17,0,east,0
C000077,61,F,20,22.29,8,22,0,east,0
C000078,78,M,0,30.01,10,12,0,south,1
C000079,25,F,19,21.68,6,23,0,east,0
C000080,64,M,30,26.52,13,20,0,south,0
C000081,52,F,13,34.69,16,24,0,west,0
C000082,31,F,8,33.22,7,13,0,east,0
C000083,34,M,6,31.51,9,23,0,south,0
C000084,53,M,20,16.84,8,18,0,north,0
C000085,67,F,23,26.84,8,29,0,north,0
C000086,57,F,40,48.23,12,12,0,east,0
C000087,21,M,8,24.42,6,16,0,west,0
C000088,19,F,29,23.76,8,20,0,north,0
C000089,79,M,16,32.58,10,22,0,south,0
C000090,23,F,42,33.85,5,28,0,south,0
C000091,71,M,15,45.45,18,16,0,north,0
C000092,59,F,14,42.45,8,20,0,north,0
C000093,21,M,17,34.54,6,23,0,north,0
C000094,71,M,27,47.11,11,23,0,west,0
C000095,46,M,66,53.65,10,23,0,west,0
C000096,35,M,1,28.15,7,22,0,east,0
C000097,43,M,1,35.28,7,24,0,south,0
C000098,61,M,55,49.95,10,25,0,east,0
C000099,51,F,15,24.95,12,20,0,east,1
C000100,27,M,19,12.45,13,16,0,south,0
C000101,79,M,13,25.67,15,21,0,south,0
C000102,53,M,1,28.73,13,21,0,south,0
C000103,31,M,29,43.96,7,19,0,east,0
C000104,48,M,27,38.54,10,33,0,west,0
C000105,65,M,7,18.09,6,21,0,south,0
C000106,32,M,7,3.73,10,20,0,north,1
C000107,25,M,36,33.05,14,22,0,west,1
C000108,31,M,1,17.46,9,24,1,west,1
C000109,40,F,42,37.87,11,25,0,west,0
C000110,77,M,5,28.69,10,22,0,west,0
C000111,74,M,17,48.36,14,22,0,south,0
C000112,79,F,54,48.24,11,17,0,east,0
C000113,57,M,22,28.83,8,30,0,north,0
C000114,38,F,10,22.41,10,17,0,north,0
C000115,33,M,23,32.74,9,19,0,east,0
C000116,62,F,8,15.72,8,27,0,east,1
C000117,35,F,6,24.2,12,17,0,west,0
C000118,64,M,114,81.51,10,18,0,south,0
C000119,70,F,27,35.6,12,22,0,north,0
C000120,41,M,20,34.58,10,21,0,west,0
C000121,43,M,8,28.34,14,16,0,west,0
C000122,42,F,1,2.78,17,24,0,south,0
C000123,77,F,0,26.37,13,24,0,north,0
C000124,77,M,16,21.29,8,13,0,east,1
C000125,77,M,28,23.04,6,20,0,west,0
C000126,62,M,15,16.46,14,22,0,north,0
C000127,58,M,36,42.34,6,16,0,north,0
C000128,46,F,0,17.77,6,14,0,west,1
C000129,32,M,9,7.68,11,23,1,north,0
C000130,62,M,5,27.28,9,25,0,south,0
C000131,18,M,11,11.1,15,17,0,north,1
C000132,42,M,1,21.9,3,23,0,south,1
C000133,24,M,61,52.88,11,20,0,west,0
C000134,26,F,5,31.36,12,12,0,north,0
C000135,41,F,51,63.32,11,20,0,south,0
C000136,18,F,11,11.85,14,17,0,south,0
C000137,61,M,84,61.48,17,22,0,north,0
C000138,25,F,16,25.24,10,23,1,west,0
C000139,41,F,53,50.84,8,26,0,east,0
C000140,28,F,0,22.16,12,13,0,east,0
C000141,68,M,27,29.97,8,20,0,north,0
C000142,34,M,46,38.59,15,19,0,north,0
C000143,25,M,3,10.34,13,22,0,east,1
C000144,52,M,2,30.88,7,23,0,west,0
C000145,52,M,11,30.09,9,22,0,south,0
C000146,50,M,54,56.18,4,22,1,east,0
C000147,76,M,15,24.4,10,18,0,west,0
C000148,22,F,14,20.43,11,24,1,east,0
C000149,59,M,3,10.72,7,21,0,west,0
C000150,56,M,0,23.59,7,22,0,east,1
C000151,75,F,33,26.1,4,23,0,west,0
C000152,58,F,1,38.99,8,20,0,west,0
C000153,45,F,20,16.92,12,22,0,west,1
C000154,24,F,49,47.24,8,16,0,south,0
C000155,26,M,4,37.67,18,20,0,west,1
C000156,25,F,21,36.49,13,23,0,east,0
C000157,29,M,1,22.26,8,18,0,west,0
C000158,51,M,18,19.32,12,21,0,west,0
C000159,50,M,3,7.68,13,13,0,north,0
C000160,65,M,26,40.7,8,30,0,west,0
C000161,72,M,7,38.56,11,34,0,west,0
C000162,40,F,12,21.61,15,17,0,north,0
C000163,79,F,18,17.61,9,24,0,south,0
C000164,41,F,3,-3.08,9,16,0,west,0
C000165,54,M,27,23.69,6,19,0,north,0
C000166,52,F,7,22.36,8,24,0,west,0
C000167,61,F,21,46.49,12,15,0,south,0
C000168,57,M,3,28.23,11,18,0,east,0
C000169,39,F,23,34.55,13,27,0,west,0
C000170,44,M,2,17.0,6,20,0,east,1
C000171,52,M,11,19.67,10,31,0,north,0
C000172,18,F,5,36.56,11,14,0,west,0
C000173,52,M,27,35.51,10,25,0,north,0
C000174,54,M,6,1.97,10,14,0,east,0
C000175,64,F,42,34.26,8,26,0,west,0
C000176,31,F,44,33.42,7,23,0,east,0
C000177,20,M,4,16.54,16,18,0,north,0
C000178,18,M,19,35.13,14,15,0,south,0
C000179,22,M,1,19.43,10,22,0,south,1
C000180,43,F,9,23.73,9,17,0,south,1
C000181,72,M,24,45.13,16,27,0,north,0
C000182,31,M,21,23.54,8,24,0,south,0
C000183,56,F,19,48.14,9,16,0,west,0
C000184,44,M,6,16.29,9,21,0,south,0
C000185,26,M,9,25.39,10,21,0,east,0
C000186,32,M,2,18.19,6,20,0,west,0
C000187,32,F,25,33.73,7,19,0,east,0
C000188,43,M,14,31.45,16,22,0,east,0
C000189,59,M,24,36.34,7,20,0,east,0
C000190,77,F,5,14.97,9,18,0,east,1
C000191,30,M,7,12.27,9,22,1,west,0
C000192,68,M,8,49.03,11,19,0,north,0
C000193,49,M,0,15.16,4,20,1,west,1
C000194,56,M,8,30.99,7,23,0,south,0
C000195,66,M,32,19.92,8,15,0,south,0
C000196,69,M,45,39.7,12,22,0,north,0
C000197,78,M,14,25.73,14,16,0,south,0
C000198,49,M,12,30.73,14,21,1,west,0
C000199,21,F,0,-7.22,9,22,0,south,1
C000200,47,F,42,42.66,6,16,0,south,0
C000201,54,F,0,8.5,8,13,1,east,0
C000202,40,F,57,51.74,6,21,0,west,0
C000203,56,M,13,16.14,8,18,0,east,0
C000204,62,F,8,15.45,8,14,0,north,0
C000205,32,M,51,42.76,7,28,0,west,0
C000206,60,F,0,9.48,20,23,0,east,0
C000207,46,F,17,23.74,10,16,1,west,0
C000208,53,F,15,15.57,13,11,0,south,0
C000209,30,F,4,3.67,9,19,0,north,1
C000210,49,F,11,35.68,9,19,0,south,0
C000211,24,M,21,17.54,6,22,1,south,1
C000212,76,M,25,30.71,11,18,0,west,0
C000213,68,F,0,27.53,9,23,0,north,0
C000214,39,M,55,41.35,10,24,0,west,0
C000215,45,F,3,13.25,12,15,0,south,0
C000216,19,F,5,24.76,14,16,0,north,0
C000217,59,M,6,34.18,7,28,0,north,0
C000218,62,F,0,8.31,9,16,0,south,0
C000219,79,F,2,19.5,12,21,0,west,0
C000220,74,F,85,45.18,11,12,0,south,0
C000221,70,F,7,19.57,16,13,0,south,0
C000222,23,M,2,21.34,13,20,1,south,0
C000223,45,F,2,12.45,10,19,0,west,0
C000224,45,F,25,27.93,8,21,0,north,0
C000225,61,M,38,24.92,16,16,0,east,0
C000226,61,M,5,23.27,5,21,0,south,1
C000227,37,F,0,30.56,11,18,0,north,0
C000228,47,M,5,11.53,14,25,0,east,0
C000229,79,F,1,14.27,11,19,0,north,0
C000230,28,F,2,26.03,14,27,0,west,0
C000231,75,M,11,37.62,16,16,0,east,0
C000232,72,F,5,7.57,12,18,0,east,0
C000233,45,F,14,25.31,12,18,0,east,0
C000234,42,M,5,25.33,8,25,0,south,0
C000235,56,M,56,46.98,6,28,0,east,0
C000236,79,M,47,18.73,9,26,0,west,0
C000237,50,M,16,33.01,5,16,0,west,0
C000238,18,F,8,39.19,14,13,0,east,0
C000239,74,M,9,25.67,13,19,0,north,0
C000240,44,F,10,14.69,11,23,0,south,0
C000241,79,M,26,27.87,8,26,0,north,0
C000242,74,M,12,43.7,12,28,0,south,0
C000243,69,F,38,48.1,13,19,0,south,0
C000244,30,F,57,54.9,5,18,1,west,0
C000245,58,M,8,27.56,11,23,1,south,1
C000246,20,M,16,21.39,13,20,0,east,1
C000247,56,M,1,18.49,6,21,0,south,0
C000248,23,M,4,21.22,8,24,0,west,1
C000249,25,F,10,30.5,12,18,0,west,0
C000250,44,M,4,37.09,7,17,0,south,0
C000251,26,M,41,51.68,10,12,0,south,0
C000252,79,M,3,7.31,15,18,0,south,0
C000253,54,F,12,28.24,12,15,0,north,0
C000254,50,F,18,36.37,3,11,0,east,0
C000255,68,M,23,37.69,12,21,0,south,0
C000256,59,F,9,18.21,11,25,0,east,0
C000257,61,M,40,69.14,13,14,0,west,0
C000258,41,M,16,15.23,8,9,0,east,0
C000259,32,F,11,14.67,7,20,0,south,0
C000260,76,F,1,22.84,7,24,1,west,0
C000261,71,F,12,47.17,12,21,0,south,0
C000262,49,F,34,28.64,9,16,0,east,0
C000263,49,M,19,26.84,15,23,0,east,0
C000264,41,F,35,48.27,9,20,0,north,0
C000265,58,M,13,26.32,7,14,0,east,0
C000266,69,F,2,17.65,9,18,0,west,0
C000267,66,M,0,25.66,10,13,1,south,1
C000268,79,F,7,26.23,11,23,0,east,0
C000269,66,M,23,41.8,8,27,0,south,0
C000270,75,M,31,48.41,12,20,0,north,0
C000271,69,F,7,26.57,10,17,0,south,0
C000272,29,M,13,29.42,9,16,0,south,0
C000273,79,M,10,27.14,14,18,1,east,0
C000274,56,M,10,29.89,20,16,0,east,0
C000275,19,M,5,23.05,11,26,0,south,0
C000276,20,M,2,20.99,10,20,0,north,0
C000277,66,M,4,33.97,14,19,0,west,0
C000278,54,F,1,35.66,12,18,0,west,0
C000279,66,M,4,6.92,7,21,1,west,0
C000280,73,F,0,20.1,12,15,0,west,0
C000281,34,F,19,22.61,14,26,0,south,1
C000282,76,M,7,20.39,5,14,0,south,0
C000283,66,F,72,60.03,10,15,0,south,0
C000284,19,M,4,28.69,14,22,0,south,0
C000285,19,F,8,22.88,4,22,0,north,0
C000286,45,M,8,4.87,12,22,0,south,1
C000287,71,M,0,10.35,11,21,1,south,1
C000288,40,F,36,46.96,7,18,0,south,0
C000289,54,F,0,-7.4,12,28,0,east,1
C000290,49,F,56,59.87,8,14,0,west,0
C000291,50,M,44,47.21,9,18,0,east,0
C000292,18,F,15,40.66,8,20,0,north,0
C000293,36,M,15,25.51,10,22,0,north,0
C000294,79,M,21,9.89,9,22,0,west,0
C000295,19,M,9,28.8,15,23,0,west,1
C000296,70,F,20,42.75,10,20,1,south,0
C000297,61,M,0,29.25,10,19,0,west,0
C000298,43,M,1,13.87,8,15,0,north,0
C000299,49,F,12,26.87,6,18,0,south,0
C000300,23,M,15,22.17,10,25,0,north,0
C000301,49,M,43,33.31,10,19,0,east,0
C000302,72,M,2,30.55,9,15,0,south,0
C000303,21,F,34,25.02,10,26,0,south,0
C000304,72,M,4,13.06,12,22,0,east,1
C000305,28,M,10,13.96,9,21,0,north,0
C000306,73,F,7,8.6,10,20,0,west,0
C000307,76,F,10,26.46,18,30,0,south,0
C000308,34,M,3,33.12,7,21,0,west,0
C000309,55,F,14,25.15,11,24,0,east,0
C000310,41,F,32,20.94,15,23,0,north,0
C000311,22,F,11,33.9,8,19,0,north,0
C000312,69,M,13,43.36,9,28,0,north,0
C000313,51,F,37,32.04,13,21,0,west,0
C000314,23,M,24,27.21,12,24,0,west,0
C000315,39,M,13,31.66,9,24,0,west,0
C000316,28,M,5,38.72,8,24,0,west,0
C000317,65,M,43,36.3,5,27,1,south,1
C000318,33,M,17,15.18,8,21,0,west,0
C000319,50,F,4,28.31,10,18,0,east,0
C000320,26,M,6,30.99,9,20,0,south,0
C000321,77,M,32,36.06,5,21,0,north,0
C000322,76,M,0,14.42,10,19,0,west,0
C000323,23,M,96,77.94,11,26,0,west,1
C000324,33,F,2,26.28,12,22,0,south,0
C000325,46,M,31,27.82,14,21,0,north,0
C000326,20,M,10,25.49,17,15,0,north,0
C000327,37,M,13,12.98,10,20,0,east,0
C000328,77,M,42,47.86,7,19,0,south,0
C000329,76,M,10,22.38,11,13,0,east,1
C000330,53,F,15,23.14,11,19,0,south,0
C000331,36,F,1,20.17,15,22,0,south,0
C000332,43,M,0,20.4,10,20,1,south,1
C000333,20,F,5,31.45,9,28,0,north,0
C000334,36,F,22,36.91,10,19,0,east,0
C000335,37,F,2,19.44,16,17,0,east,1
C000336,49,M,2,28.64,10,17,0,west,0
C000337,24,M,10,29.01,7,19,1,east,0
C000338,69,M,20,25.73,16,21,1,west,0
C000339,58,F,24,30.75,13,21,0,west,0
C000340,50,F,3,20.02,8,18,0,north,0
C000341,57,M,1,25.55,10,26,0,west,0
C000342,56,M,56,44.33,12,22,0,south,0
C000343,35,F,6,19.1,6,16,0,south,0
C000344,57,F,38,58.69,9,24,0,north,0
C000345,18,F,39,48.9,4,18,0,south,0
C000346,28,F,29,26.89,8,14,0,south,0
C000347,45,M,3,27.21,17,23,0,east,0
C000348,74,F,34,38.18,9,17,1,north,0
C000349,42,F,29,38.42,11,18,0,south,0
C000350,67,M,18,30.37,12,27,0,north,0
C000351,40,M,8,35.9,9,23,0,north,0
C000352,48,F,6,26.46,7,25,0,south,0
C000353,47,M,2,20.38,6,23,0,south,0
C000354,59,F,14,37.42,10,23,0,west,0
C000355,52,F,17,30.83,12,27,0,north,0
C000356,24,F,8,25.21,11,17,0,north,1
C000357,77,M,12,29.14,6,24,0,south,0
C000358,33,M,9,23.56,12,16,1,west,1
C000359,43,F,20,30.09,8,17,0,east,0
C000360,65,M,46,37.13,15,20,0,south,0
C000361,74,F,3,13.99,7,22,0,west,1
C000362,69,F,9,14.51,6,29,0,north,0
C000363,77,M,3,7.58,5,22,0,north,1
C000364,66,M,19,20.7,8,17,0,south,0
C000365,19,M,26,31.26,10,18,0,west,0
C000366,18,M,53,47.53,12,20,0,south,0
C000367,65,F,6,20.29,5,15,0,north,0
C000368,79,F,59,25.94,8,19,0,west,0
C000369,29,F,1,36.25,8,14,0,west,0
C000370,22,F,18,39.86,11,13,0,north,0
C000371,54,M,1,24.96,4,22,0,north,1
C000372,49,F,44,61.07,17,24,0,east,0
C000373,76,F,15,17.73,8,11,0,east,0
C000374,72,F,22,49.88,7,17,0,north,0
C000375,26,F,35,27.85,13,17,1,west,0
C000376,58,M,3,23.89,9,15,0,north,0
C000377,52,F,0,7.26,5,21,1,south,1
C000378,36,M,42,41.15,9,20,0,north,0
C000379,65,M,7,27.36,8,17,0,west,0
C000380,33,M,2,19.45,10,14,0,east,1
C000381,20,F,12,33.14,11,13,0,north,0
C000382,37,F,18,29.99,9,13,0,east,0
C000383,41,F,0,14.78,10,13,0,south,0
C000384,71,F,6,17.33,6,25,0,west,0
C000385,73,F,0,28.11,12,17,0,east,0
C000386,50,F,10,18.46,11,19,0,south,0
C000387,41,M,45,51.65,8,23,0,west,0
C000388,69,M,81,72.73,10,23,0,west,0
C000389,28,M,20,13.31,5,22,0,east,0
C000390,66,F,3,32.83,15,21,1,east,1
C000391,25,F,47,64.1,14,17,0,east,0
C000392,53,M,14,29.52,9,17,0,west,0
C000393,55,M,3,27.49,11,15,0,west,0
C000394,57,F,50,55.37,5,16,0,west,0
C000395,37,M,28,31.25,3,28,1,east,1
C000396,79,F,26,34.82,9,17,0,east,0
C000397,52,F,24,18.86,12,18,0,south,0
C000398,65,M,4,23.39,8,18,0,north,0
C000399,79,M,4,26.98,10,20,0,south,1
C000400,42,F,23,36.66,18,21,0,north,0
C000401,52,F,4,32.65,12,24,0,south,1
C000402,42,M,11,17.75,9,25,0,east,0
C000403,46,F,30,29.67,6,20,0,west,0
C000404,35,M,30,53.96,11,24,0,north,0
C000405,63,M,12,24.5,8,23,0,west,0
C000406,35,F,31,37.5,8,24,0,north,0
C000407,19,F,36,37.33,10,16,0,west,0
C000408,71,M,21,22.28,6,15,0,south,0
C000409,52,F,5,38.74,7,21,0,west,0
C000410,33,F,6,17.72,13,16,0,north,1
C000411,78,M,7,12.23,12,14,0,east,0
C000412,58,M,2,16.49,11,18,1,north,0
C000413,53,F,6,2.98,15,15,0,west,1
C000414,50,M,4,15.49,7,22,0,south,0
C000415,21,M,12,16.32,12,20,0,north,1
C000416,50,M,47,49.67,8,13,0,south,0
C000417,31,F,2,14.27,11,22,1,east,1
C000418,38,F,25,41.38,7,18,0,south,0
C000419,65,F,23,45.48,15,18,0,south,0
C000420,37,M,2,28.81,9,16,0,north,0
C000421,73,F,51,43.35,12,16,0,south,0
C000422,25,F,16,29.41,15,20,0,south,0
C000423,24,F,9,9.25,8,18,0,south,0
C000424,20,F,28,32.66,9,19,0,west,1
C000425,34,M,5,13.9,9,13,0,south,1
C000426,50,F,23,38.44,10,18,0,south,0
C000427,65,M,0,45.73,13,20,0,south,0
C000428,29,M,36,43.0,6,18,0,north,0
C000429,76,M,11,5.59,13,21,0,north,0
C000430,68,M,20,26.39,12,24,0,south,0
C000431,39,M,5,23.72,5,17,0,south,0
C000432,72,F,22,31.87,7,17,0,west,0
C000433,39,M,29,27.19,10,24,0,south,0
C000434,63,F,12,28.45,12,14,0,east,1
C000435,47,M,19,17.07,12,16,0,south,1
C000436,55,M,12,16.55,11,18,0,north,1
C000437,55,F,44,48.46,9,23,0,north,0
C000438,62,M,13,16.34,17,16,0,south,0
C000439,68,M,36,43.38,15,18,0,north,0
C000440,71,F,32,22.31,8,19,0,west,0
C000441,25,M,10,42.65,11,14,0,north,0
C000442,44,M,5,14.76,11,19,0,east,0
C000443,44,M,10,22.76,10,23,0,south,1
C000444,51,F,34,40.31,11,25,0,north,0
C000445,38,F,5,16.85,8,27,0,north,1
C000446,47,F,14,28.43,4,29,0,south,0
C000447,50,F,32,41.75,18,22,1,north,0
C000448,45,M,8,33.61,11,23,0,east,0
C000449,64,M,20,37.91,12,27,0,south,0
C000450,50,F,5,20.78,8,28,0,north,0
C000451,22,M,2,19.53,8,29,0,west,1
C000452,77,M,31,58.99,14,16,0,west,0
C000453,78,M,2,30.5,4,15,0,south,0
C000454,65,M,6,13.78,7,17,0,north,0
C000455,36,F,38,40.0,13,20,0,west,1
C000456,21,M,8,20.65,13,28,0,east,0
C000457,52,M,72,54.65,10,25,0,north,0
C000458,66,M,77,46.21,11,36,0,east,0
C000459,34,F,6,18.88,16,23,0,west,0
C000460,61,M,0,38.12,10,15,1,south,1
C000461,45,M,24,37.79,4,17,1,east,0
C000462,47,F,11,0.59,7,21,0,west,0
C000463,46,F,2,33.17,7,9,0,south,1
C000464,63,M,24,42.9,10,26,0,north,0
C000465,70,M,0,16.41,7,21,0,west,0
C000466,23,M,40,47.17,9,22,0,west,0
C000467,52,M,2,12.41,9,24,0,north,0
C000468,77,M,2,16.3,10,29,0,north,1
C000469,58,M,3,36.49,3,20,0,north,0
C000470,54,M,64,49.28,9,20,0,south,0
C000471,41,M,23,12.8,14,16,0,south,0
C000472,46,F,32,35.37,8,13,0,north,0
C000473,66,F,10,24.21,16,18,0,south,0
C000474,63,F,8,35.98,10,13,0,west,0
C000475,70,M,5,22.64,7,19,0,south,0
C000476,48,M,13,22.28,12,16,0,west,0
C000477,52,F,16,38.45,11,22,0,west,0
C000478,77,M,19,30.71,9,11,0,south,0
C000479,50,M,5,15.0,10,21,1,north,1
C000480,69,F,59,61.05,4,22,0,east,0
C000481,78,F,3,23.44,10,12,0,east,0
C000482,38,F,67,53.53,14,21,0,south,0
C000483,49,M,0,21.78,13,21,0,west,0
C000484,40,M,13,15.79,11,24,0,east,0
C000485,50,F,8,18.72,7,26,0,west,1
C000486,20,M,11,25.54,7,25,0,west,0
C000487,35,F,16,26.05,14,15,0,west,0
C000488,42,F,11,38.22,13,13,0,west,0
C000489,59,F,10,27.17,11,21,1,east,0
C000490,48,M,26,41.55,11,25,0,south,0
C000491,71,M,23,31.59,7,13,0,south,0
C000492,75,F,35,48.06,12,23,0,west,0
C000493,20,F,5,26.48,13,23,0,west,0
C000494,57,F,18,29.13,8,17,0,south,0
C000495,63,M,17,28.37,14,27,1,north,0
C000496,41,M,9,14.96,8,18,0,west,0
C000497,67,F,13,31.57,16,18,0,east,0
C000498,49,F,7,23.1,11,18,0,east,0
C000499,64,F,3,16.48,10,26,0,west,0
C000500,39,M,4,33.06,13,16,0,west,0
C000501,40,F,2,8.5,14,13,0,south,0
C000502,19,F,22,26.78,13,19,0,north,0
C000503,44,F,21,40.78,9,23,0,south,0
C000504,59,M,60,53.16,11,28,0,north,0
C000505,19,M,26,32.52,4,17,0,east,0
C000506,43,F,1,23.01,11,22,0,south,1
C000507,34,M,43,43.29,10,21,0,south,0
C000508,57,M,39,24.33,9,15,0,west,0
C000509,50,F,11,22.01,13,31,0,west,0
C000510,26,M,17,44.67,8,22,0,east,1
C000511,60,F,74,50.41,14,22,0,north,1
C000512,71,M,15,24.32,11,22,0,north,0
C000513,65,F,47,38.08,15,21,0,east,0
C000514,56,F,1,19.63,9,15,1,north,1
C000515,46,M,4,16.17,8,15,0,west,1
C000516,59,M,11,30.37,12,13,0,east,0
C000517,72,M,17,30.47,14,16,0,west,0
C000518,43,M,33,44.24,14,26,0,east,0
C000519,52,F,88,53.49,11,21,0,east,0
C000520,67,F,9,21.1,11,17,0,north,0
C000521,42,M,0,17.74,9,19,1,south,1
C000522,41,M,32,40.56,10,17,0,east,0
C000523,30,M,18,21.07,8,15,0,north,0
C000524,77,F,4,31.16,9,19,0,east,1
C000525,75,M,13,38.36,11,22,0,north,0
C000526,24,F,27,23.61,9,17,0,east,0
C000527,74,F,29,29.59,7,25,1,north,0
C000528,53,F,13,21.18,6,18,0,east,1
C000529,62,M,7,49.82,11,14,0,east,0
C000530,37,F,72,51.7,7,14,0,east,0
C000531,18,M,21,47.28,13,28,0,north,0
C000532,25,M,10,12.33,13,19,0,south,0
C000533,63,F,6,13.1,13,24,0,east,0
C000534,33,F,26,26.13,9,23,0,north,0
C000535,31,M,5,14.04,14,27,0,west,0
C000536,29,M,3,18.82,9,20,0,north,0
C000537,68,M,15,20.41,17,20,0,north,1
C000538,40,M,6,14.81,8,17,0,south,0
C000539,32,M,19,41.08,8,19,0,west,0
C000540,45,M,2,33.24,10,14,1,west,0
C000541,51,M,21,39.99,9,27,0,south,0
C000542,19,F,6,28.24,6,23,0,south,0
C000543,49,F,0,20.93,16,19,0,east,0
C000544,40,F,2,16.03,5,21,0,east,1
C000545,39,M,54,37.47,13,21,0,north,0
C000546,68,F,40,43.63,9,17,0,north,0
C000547,42,F,5,10.76,8,24,0,east,0
C000548,75,F,30,25.06,11,20,0,west,0
C000549,79,F,18,40.53,8,22,0,north,0
C000550,78,F,70,74.01,11,12,0,north,0
C000551,39,M,9,28.43,15,20,0,south,0
C000552,75,M,22,42.06,15,21,1,east,1
C000553,75,F,1,18.04,8,16,0,south,0
C000554,39,F,10,11.62,8,13,0,north,0
C000555,66,F,66,59.12,5,23,1,east,0
C000556,69,M,15,33.19,12,20,0,west,0
C000557,59,M,6,23.72,9,20,0,west,0
C000558,23,M,2,18.58,15,22,0,south,0
C000559,32,F,24,41.62,12,21,0,east,0
C000560,71,F,20,20.14,7,24,0,north,0
C000561,60,M,9,16.76,11,26,0,west,0
C000562,77,M,60,39.92,11,25,0,west,0
C000563,54,M,0,20.85,15,26,0,west,1
C000564,50,F,7,12.62,9,23,0,north,0
C000565,25,F,50,38.16,11,22,0,north,0
C000566,70,F,7,16.44,16,15,0,west,1
C000567,77,M,5,19.89,10,17,1,east,1
C000568,61,F,15,12.63,4,23,0,east,0
C000569,61,M,34,37.87,15,20,0,south,0
C000570,22,F,2,33.47,10,20,0,east,1
C000571,56,M,57,49.85,11,13,0,south,0
C000572,21,M,31,50.91,8,18,0,south,0
C000573,23,F,3,34.84,6,21,0,west,0
C000574,62,F,24,39.78,7,24,0,south,0
C000575,49,M,9,25.25,8,15,0,east,0
C000576,69,F,10,25.23,7,22,0,east,0
C000577,47,M,30,42.64,5,16,0,east,0
C000578,64,M,65,48.58,11,22,0,west,0
C000579,52,M,2,2.17,11,19,0,south,1
